date,interest,keyword,query_combined
2016-01-01,37,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2016-02-01,42,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2016-03-01,55,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2016-04-01,40,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2016-05-01,37,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2016-06-01,38,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2016-07-01,32,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2016-08-01,31,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2016-09-01,41,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2016-10-01,37,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2016-11-01,39,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2016-12-01,35,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2017-01-01,40,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2017-02-01,41,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2017-03-01,55,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2017-04-01,42,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2017-05-01,36,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2017-06-01,36,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2017-07-01,33,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2017-08-01,31,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2017-09-01,42,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2017-10-01,39,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2017-11-01,41,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2017-12-01,34,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2018-01-01,40,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2018-02-01,45,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2018-03-01,54,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2018-04-01,40,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2018-05-01,38,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2018-06-01,40,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2018-07-01,35,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2018-08-01,34,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2018-09-01,40,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2018-10-01,42,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2018-11-01,42,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2018-12-01,35,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2019-01-01,42,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2019-02-01,46,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2019-03-01,55,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2019-04-01,42,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2019-05-01,43,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2019-06-01,36,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2019-07-01,35,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2019-08-01,32,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2019-09-01,40,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2019-10-01,40,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2019-11-01,42,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2019-12-01,33,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2020-01-01,46,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2020-02-01,50,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2020-03-01,32,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2020-04-01,22,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2020-05-01,31,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2020-06-01,38,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2020-07-01,35,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2020-08-01,57,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2020-09-01,54,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2020-10-01,43,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2020-11-01,43,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2020-12-01,41,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2021-01-01,51,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2021-02-01,61,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2021-03-01,66,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2021-04-01,47,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2021-05-01,45,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2021-06-01,42,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2021-07-01,41,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2021-08-01,35,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2021-09-01,43,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2021-10-01,43,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2021-11-01,50,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2021-12-01,40,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2022-01-01,51,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2022-02-01,55,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2022-03-01,64,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2022-04-01,51,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2022-05-01,54,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2022-06-01,55,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2022-07-01,45,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2022-08-01,59,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2022-09-01,60,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2022-10-01,61,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2022-11-01,62,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2022-12-01,62,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2023-01-01,68,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2023-02-01,67,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2023-03-01,93,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2023-04-01,64,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2023-05-01,61,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2023-06-01,62,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2023-07-01,50,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2023-08-01,41,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2023-09-01,55,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2023-10-01,57,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2023-11-01,55,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2023-12-01,48,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2024-01-01,62,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2024-02-01,65,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2024-03-01,83,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2024-04-01,61,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2024-05-01,53,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2024-06-01,54,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2024-07-01,46,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2024-08-01,44,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2024-09-01,53,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2024-10-01,58,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2024-11-01,57,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2024-12-01,49,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2025-01-01,66,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2025-02-01,69,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2025-03-01,100,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2025-04-01,66,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2025-05-01,63,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2025-06-01,64,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2025-07-01,50,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2025-08-01,47,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2025-09-01,57,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2025-10-01,62,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2025-11-01,61,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2025-12-01,52,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2026-01-01,62,Mars bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon
2015-01-01,33,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2015-02-01,34,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2015-03-01,30,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2015-04-01,27,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2015-05-01,28,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2015-06-01,28,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2015-07-01,25,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2015-08-01,27,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2015-09-01,31,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2015-10-01,53,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2015-11-01,88,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2015-12-01,31,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2016-01-01,34,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2016-02-01,35,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2016-03-01,31,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2016-04-01,31,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2016-05-01,29,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2016-06-01,28,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2016-07-01,23,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2016-08-01,25,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2016-09-01,30,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2016-10-01,40,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2016-11-01,76,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2016-12-01,30,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2017-01-01,31,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2017-02-01,32,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2017-03-01,33,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2017-04-01,27,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2017-05-01,25,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2017-06-01,28,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2017-07-01,30,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2017-08-01,26,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2017-09-01,31,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2017-10-01,42,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2017-11-01,67,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2017-12-01,37,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2018-01-01,35,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2018-02-01,35,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2018-03-01,32,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2018-04-01,31,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2018-05-01,29,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2018-06-01,30,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2018-07-01,25,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2018-08-01,26,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2018-09-01,41,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2018-10-01,44,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2018-11-01,61,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2018-12-01,29,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2019-01-01,33,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2019-02-01,34,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2019-03-01,33,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2019-04-01,32,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2019-05-01,29,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2019-06-01,28,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2019-07-01,27,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2019-08-01,26,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2019-09-01,38,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2019-10-01,56,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2019-11-01,68,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2019-12-01,33,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2020-01-01,44,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2020-02-01,42,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2020-03-01,24,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2020-04-01,22,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2020-05-01,26,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2020-06-01,29,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2020-07-01,27,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2020-08-01,27,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2020-09-01,33,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2020-10-01,39,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2020-11-01,61,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2020-12-01,33,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2021-01-01,34,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2021-02-01,35,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2021-03-01,34,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2021-04-01,32,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2021-05-01,35,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2021-06-01,31,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2021-07-01,30,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2021-08-01,28,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2021-09-01,38,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2021-10-01,50,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2021-11-01,74,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
