year;date;google_trends;day_index
2017;05/02/2017;0;42
2017;06/02/2017;0;43
2018;26/12/2017;0;1
2018;27/12/2017;40;2
2018;28/12/2017;0;3
2018;29/12/2017;47;4
2018;30/12/2017;0;5
2018;31/12/2017;0;6
2018;01/01/2018;59;7
2018;02/01/2018;63;8
2018;03/01/2018;42;9
2018;04/01/2018;46;10
2018;05/01/2018;0;11
2018;06/01/2018;0;12
2018;07/01/2018;0;13
2018;08/01/2018;100;14
2018;09/01/2018;50;15
2018;10/01/2018;0;16
2018;11/01/2018;0;17
2018;12/01/2018;0;18
2018;13/01/2018;0;19
2018;14/01/2018;0;20
2018;15/01/2018;0;21
2018;16/01/2018;0;22
2018;17/01/2018;0;23
2018;18/01/2018;0;24
2018;19/01/2018;0;25
2018;20/01/2018;0;26
2018;21/01/2018;0;27
2018;22/01/2018;0;28
2018;23/01/2018;0;29
2018;24/01/2018;0;30
2018;25/01/2018;0;31
2018;26/01/2018;0;32
2018;27/01/2018;0;33
2018;28/01/2018;0;34
2018;29/01/2018;0;35
2018;30/01/2018;0;36
2018;31/01/2018;0;37
2018;01/02/2018;0;38
2018;02/02/2018;0;39
2018;03/02/2018;0;40
2018;04/02/2018;0;41
2018;05/02/2018;0;42
2018;06/02/2018;0;43
2019;26/12/2018;0;1
2019;27/12/2018;0;2
2019;28/12/2018;0;3
2019;29/12/2018;0;4
2019;30/12/2018;0;5
2019;31/12/2018;12;6
2019;01/01/2019;25;7
2019;02/01/2019;43;8
2019;03/01/2019;100;9
2019;04/01/2019;85;10
2019;05/01/2019;54;11
2019;06/01/2019;41;12
2019;07/01/2019;31;13
2019;08/01/2019;29;14
2019;09/01/2019;16;15
2019;10/01/2019;21;16
2019;11/01/2019;22;17
2019;12/01/2019;23;18
2019;13/01/2019;20;19
2019;14/01/2019;9;20
2019;15/01/2019;8;21
2019;16/01/2019;11;22
2019;17/01/2019;7;23
2019;18/01/2019;13;24
2019;19/01/2019;10;25
2019;20/01/2019;8;26
2019;21/01/2019;7;27
2019;22/01/2019;9;28
2019;23/01/2019;0;29
2019;24/01/2019;0;30
