campaign,year,date,title,url,media_name,media_url,title_clean,lang,lang_score,short_title,fr_hints,en_hints,lang_class
Octobre Rose,2015,01-10-15,"dépistage, espoirs de guérison, nouveaux traitements... Le point sur les recherches – metronews",http://www.metronews.fr/info/cancer-du-sein-depistage-espoirs-de-guerison-nouveaux-traitements-le-point-sur-les-recherches/moja!jkryXIshsFSyg/,metronews.fr,metronews.fr,"dépistage, espoirs de guérison, nouveaux traitements... Le point sur les recherches - metronews",fr,-269.65858030319214,False,4,0,fr
Octobre Rose,2015,02-10-15,La Haute-Garonne mobilisée contre le cancer du sein,http://www.ladepeche.fr/article/2015/10/02/2189382-la-haute-garonne-mobilisee-contre-le-cancer-du-sein.html,ladepeche.fr,ladepeche.fr,La Haute-Garonne mobilisée contre le cancer du sein,fr,-158.45863580703735,False,4,0,fr
Octobre Rose,2015,07-10-15,Le trophée Roses des sables solidaire d'Octobre rose,http://www.lefigaro.fr/sante/2015/10/07/01004-20151007ARTFIG00259-le-trophee-roses-des-sables-solidaire-d-octobre-rose.php,lefigaro.fr,lefigaro.fr,Le trophée Roses des sables solidaire d'Octobre rose,fr,-130.2808232307434,False,2,0,fr
Octobre Rose,2015,09-10-15,«Octobre rose» sur le marché,http://www.ladepeche.fr/article/2015/10/09/2194271-octobre-rose-sur-le-marche.html,ladepeche.fr,ladepeche.fr,«Octobre rose» sur le marché,fr,-76.21227788925171,False,2,0,fr
Octobre Rose,2015,12-10-15,Ligue contre le cancer : «Octobre rose» sur le marché,http://www.ladepeche.fr/article/2015/10/12/2195664-ligue-contre-le-cancer-octobre-rose-sur-le-marche.html,ladepeche.fr,ladepeche.fr,Ligue contre le cancer : «Octobre rose» sur le marché,fr,-100.67594051361084,False,4,0,fr
Octobre Rose,2015,13-10-15,«Octobre rose» s'était invité sur le marché de vendredi,http://www.ladepeche.fr/article/2015/10/13/2196540-octobre-rose-s-etait-invite-sur-le-marche-de-vendredi.html,ladepeche.fr,ladepeche.fr,«Octobre rose» s'était invité sur le marché de vendredi,fr,-252.68949842453003,False,3,0,fr
Octobre Rose,2015,29-10-15,Lâcher de ballons pour le final d'Octobre rose vendredi,http://www.ladepeche.fr/article/2015/10/29/2206512-lacher-de-ballons-pour-le-final-d-octobre-rose-vendredi.html,ladepeche.fr,ladepeche.fr,Lâcher de ballons pour le final d'Octobre rose vendredi,fr,-206.55749988555908,False,3,0,fr
Octobre Rose,2016,26-09-16,"A Nice, la clinique Santa-Maria se dote d'un Institut du sein pour faire reculer le cancer",http://www.nicematin.com/sante/a-nice-la-clinique-santa-maria-se-dote-dun-institut-du-sein-pour-faire-reculer-le-cancer-80743,nicematin.com,nicematin.com,"A Nice, la clinique Santa-Maria se dote d'un Institut du sein pour faire reculer le cancer",fr,-231.13270378112793,False,4,0,fr
Octobre Rose,2016,27-09-16,"Cancer du sein : Octobre rose, c'est le mois du dépistage",http://www.ladepeche.fr/article/2016/09/27/2426867-cancer-sein-octobre-rose-est-mois-depistage.html,ladepeche.fr,ladepeche.fr,"Cancer du sein : Octobre rose, c'est le mois du dépistage",fr,-206.7047038078308,False,4,0,fr
Octobre Rose,2016,30-09-16,Sénégal: Lutte contre le cancer du sein,http://fr.allafrica.com/stories/201609301219.html,allafrica.com,allafrica.com,Sénégal: Lutte contre le cancer du sein,fr,-143.4271969795227,False,3,0,fr
Octobre Rose,2016,05-10-16,Dieppe L'hôpital de Dieppe se mobilise contre le cancer du sein,http://www.lesinformationsdieppoises.fr/2016/10/05/octobre-rose-l-hopital-se-mobilise-contre-le-cancer-du-sein/?utm_source=rss&utm_medium=rss&utm_campaign=octobre-rose-l-hopital-se-mobilise-contre-le-cancer-du-sein,lesinformationsdieppoises.fr,lesinformationsdieppoises.fr,Dieppe L'hôpital de Dieppe se mobilise contre le cancer du sein,fr,-185.02890586853027,False,4,0,fr
Octobre Rose,2016,05-10-16,"Cancer du sein, se mobiliser pour mieux le soigner",http://www.ladepeche.fr/article/2016/10/05/2433106-cancer-du-sein-se-mobiliser-pour-mieux-le-soigner.html,ladepeche.fr,ladepeche.fr,"Cancer du sein, se mobiliser pour mieux le soigner",fr,-191.61904096603394,False,3,0,fr
Octobre Rose,2016,06-10-16,Ne pas sous-estimer le cancer du sein,http://www.ladepeche.fr/article/2016/10/06/2433715-ne-pas-sous-estimer-le-cancer-du-sein.html,ladepeche.fr,ladepeche.fr,Ne pas sous-estimer le cancer du sein,fr,-106.22833776473999,False,2,0,fr
Octobre Rose,2016,07-10-16,"À Mâcon, des femmes exposent leurs seins contre le cancer",http://www.lefigaro.fr/arts-expositions/2016/10/07/03015-20161007ARTFIG00243--macon-des-femmes-exposent-leurs-seins-contre-le-cancer.php,lefigaro.fr,lefigaro.fr,"À Mâcon, des femmes exposent leurs seins contre le cancer",fr,-190.73269128799438,False,3,0,fr
Octobre Rose,2016,08-10-16,“Octobre Rose” débute lundi,http://www.bienpublic.com/cote-d-or/2016/10/08/cancer-du-sein-octobre-rose-debute-lundi,bienpublic.com,bienpublic.com,"""Octobre Rose"" débute lundi",fr,-78.99892473220825,False,0,0,fr
Octobre Rose,2016,11-10-16,L’établissement hospitalier propose des animations,http://www.larep.fr/loiret/actualite/pays/giennois/gien/2016/10/11/letablissement-hospitalier-propose-des-animations_12108187.html,larep.fr,larep.fr,L'établissement hospitalier propose des animations,fr,-103.48709106445312,False,1,0,fr
Octobre Rose,2016,15-10-16,La CPAM Haute-Loire se bouge dans le cadre de la campagne de prévention nationale Octobre rose,http://www.lamontagne.fr/puy-en-velay/2016/10/15/la-cpam-haute-loire-se-bouge-dans-le-cadre-de-la-campagne-de-prevention-nationale-octobre-rose_12113879.html,lamontagne.fr,lamontagne.fr,La CPAM Haute-Loire se bouge dans le cadre de la campagne de prévention nationale Octobre rose,fr,-272.18193006515503,False,6,0,fr
Octobre Rose,2017,16-09-17,"Un ""ciné-débat"" pour sensibiliser au dépistage du cancer du sein",http://www.varmatin.com/sante/un-cine-debat-pour-sensibiliser-au-depistage-du-cancer-du-sein-166914,varmatin.com,varmatin.com,"Un ""ciné-débat"" pour sensibiliser au dépistage du cancer du sein",fr,-255.9848828315735,False,5,0,fr
Octobre Rose,2017,21-09-17,Cancer du sein: l'opération Octobre Rose victime de son succès?,https://www.bfmtv.com/sante/cancer-du-sein-l-operation-octobre-rose-victime-de-son-succes-1261127.html,bfmtv.com,bfmtv.com,Cancer du sein: l'opération Octobre Rose victime de son succès?,fr,-169.69902801513672,False,2,0,fr
Octobre Rose,2017,27-09-17,"Ensemble, améliorons le dépistage du cancer du sein !",https://www.nouvelle-aquitaine.ars.sante.fr/ensemble-ameliorons-le-depistage-du-cancer-du-sein,sante.fr,sante.fr,"Ensemble, améliorons le dépistage du cancer du sein !",fr,-230.3052887916565,False,3,0,fr
Octobre Rose,2017,09-10-17,réalise-t-on trop de mammographies,https://www.consoglobe.com/cancer-du-sein-trop-de-mammographies-cg?utm_source=bit.ly&utm_medium=reseaux-sociaux&utm_campaign=facebook,consoglobe.com,consoglobe.com,réalise-t-on trop de mammographies,fr,-65.80800676345825,False,1,0,fr
Octobre Rose,2017,09-10-17,Radio titi : mode d'emploi avec Kura,http://la1ere.francetvinfo.fr/polynesie/tahiti/polynesie-francaise/radio-titi-mode-emploi-kura-520177.html,francetvinfo.fr,francetvinfo.fr,Radio titi : mode d'emploi avec Kura,fr,-89.31414270401001,False,1,0,fr
Octobre Rose,2017,10-10-17,Le club équestre s'allie à la lutte contre le cancer du sein,http://www.ladepeche.fr/article/2017/10/10/2662051-club-equestre-allie-lutte-contre-cancer-sein.html,ladepeche.fr,ladepeche.fr,Le club équestre s'allie à la lutte contre le cancer du sein,fr,-210.24584770202637,False,5,0,fr
Octobre Rose,2017,14-10-17,Contre le cancer du sein « l'autopalpation peut sauver des vies »,https://rmc.bfmtv.com/emission/contre-le-cancer-du-sein-l-autopalpation-peut-sauver-des-vies-1277949.html,bfmtv.com,bfmtv.com,Contre le cancer du sein « l'autopalpation peut sauver des vies »,fr,-207.5455822944641,False,4,0,fr
Octobre Rose,2017,17-10-17,VIDEO. Octobre rose: Apprenez à vous palper les seins pour lutter contre le cancer,https://www.20minutes.fr/sante/2152607-20171017-video-octobre-rose-apprenez-palper-seins-lutter-contre-cancer?utm_term=Autofeed&utm_campaign=Echobox&xtref=twitter.com&utm_medium=Social&utm_source=Twitter,20minutes.fr,20minutes.fr,VIDEO. Octobre rose: Apprenez à vous palper les seins pour lutter contre le cancer,fr,-273.1610403060913,False,4,0,fr
Octobre Rose,2017,22-10-17,Cancer du sein : une journée d’information pour le dépistage,https://la1ere.francetvinfo.fr/polynesie/tahiti/polynesie-francaise/cancer-du-sein-journee-information-depistage-524651.html,francetvinfo.fr,francetvinfo.fr,Cancer du sein : une journée d'information pour le dépistage,fr,-265.7866415977478,False,4,0,fr
Octobre Rose,2018,30-09-18,Une campagne décalée pour relancer le dépistage du cancer du sein,http://www.lavoixdunord.fr/459916/article/2018-09-30/une-campagne-decalee-pour-relancer-le-depistage-du-cancer-du-sein,lavoixdunord.fr,lavoixdunord.fr,Une campagne décalée pour relancer le dépistage du cancer du sein,fr,-306.6522922515869,False,5,0,fr
Octobre Rose,2018,02-10-18,trop de patientes privilégient les ra'au Tahiti avant d'aller consulter,https://www.tntv.pf/Cancer-du-sein-trop-de-patientes-privilegient-les-ra-au-Tahiti-avant-d-aller-consulter_a28111.html,tntv.pf,tntv.pf,trop de patientes privilégient les ra'au Tahiti avant d'aller consulter,fr,-176.06010103225708,False,2,0,fr
